,PA_CODUNI,count,sum,
243,2086743,3,0.0,
244,2086816,4,0.0,
245,2087693,2,55.56,
246,2088193,1,32.4,
247,2089769,1,0.0,
248,2090236,1,24.0,
249,2090457,1,0.0,
250,2090589,161,891.0,
251,2091658,4,103.32,
252,2092611,8,192.0,
253,2093138,1,136.41,
254,2093324,1,48.0,
255,2093618,1,0.0,
256,2096722,1,3.37,
257,2096757,1,0.0,
258,2096781,1,0.0,
259,2096838,4,0.0,
260,2096862,2,0.0,
261,2096919,1,0.0,
262,2096927,1,0.0,
263,2096943,4,0.0,
264,2096978,4,0.0,
265,2096994,4,0.0,
266,2097028,8,0.0,
267,2097095,4,0.0,
268,2098881,3,0.0,
269,2098911,4,0.0,
270,2109441,595,5942.55,
271,2115662,2,48.0,
272,2120542,3,72.0,
273,2120577,1,0.0,
274,2120631,1,0.0,
275,2120658,4,0.0,
276,2120674,3,0.0,
277,2123673,1,0.0,
278,2129469,2,48.0,
279,2140217,9,49.8,
280,2143402,1,0.0,
281,2146355,1,24.0,
282,2146525,1,24.0,
283,2147572,9,99.0,
284,2152479,1,0.0,
285,2152495,1,0.0,
286,2152576,1,0.0,
287,2152614,1,0.0,
288,2152967,1,0.0,
289,2153009,2,0.0,
290,2153343,1,0.0,
291,2153505,1,0.0,
292,2153963,2,0.0,
293,2154633,1,24.0,
294,2154757,2,46.32,
295,2159252,1,24.0,
296,2160137,212,2354.05,
297,2160803,2,0.0,
298,2164620,1,32.4,
299,2164760,5,0.0,
300,2164779,2,0.0,
301,2164787,2,0.0,
302,2164841,10,10.0,
303,2164884,24,0.0,
304,2164949,4,0.0,
305,2164965,14,0.0,
306,2164973,3,0.0,
307,2165082,15,0.0,
308,2165112,2,0.0,
309,2165120,1,0.0,
310,2165155,3,0.0,
311,2165163,1,0.0,
312,2165201,28,0.0,
313,2165228,3,0.0,
314,2165309,65,530.0,
315,2165333,4,0.0,
316,2165465,1,0.0,
317,2165473,3,0.0,
318,2168243,7,0.0,
319,2170299,4,0.0,
320,2193183,9,90.0,
321,2193310,72,370.55999999999995,
322,2195437,56,1488.0,
323,2200457,3,72.0,
324,2201666,2,10.0,
325,2201763,7,0.0,
326,2205440,15,84.66,
327,2208172,2,12.47,
328,2208857,1,24.0,
329,2209195,2,48.0,
330,2215586,16,160.0,
331,2218798,3,168.0,
332,2219646,16,77.34,
333,2225794,2,48.0,
334,2225891,1,0.0,
335,2227908,2,1.26,
336,2228653,74,277.48000000000013,
337,2229463,1,0.0,
338,2232014,5,56.69999999999999,
339,2232146,2,48.0,
340,2233355,167,867.6300000000006,
341,2233371,40,292.50000000000006,
342,2235412,4,34.6,
343,2235919,1,32.4,
344,2236567,14,78.47,
345,2237253,4,79.95,
346,2237601,10,676.92,
347,2237849,2,18.77,
348,2237881,81,663.5999999999999,
349,2238357,1,0.0,
350,2241803,5,60.879999999999995,
351,2244136,19,49.88,
352,2244152,1,32.4,
353,2244306,10,253.95,
354,2245213,13,480.0,
355,2246767,1,32.4,
356,2246929,1,10.0,
357,2246988,140,1921.7399999999989,
358,2246996,88,953.8600000000008,
359,2248220,1,23.16,
360,2250152,1,0.0,
361,2250225,2,0.0,
362,2250802,19,134.5,
363,2250837,16,138.35999999999999,
364,2252260,1,6.3,
365,2252988,2,0.0,
366,2253119,1,0.0,
367,2254964,5,911.07,
368,2257548,1,32.4,
369,2259095,1,0.0,
370,2260204,4,37.410000000000004,
371,2261057,10,3957.9500000000003,
372,2262002,1,22.27,
373,2262274,23,5956.0,
374,2262568,96,865.56,
375,2263602,3,0.0,
376,2263661,4,0.0,
377,2264307,1,7.26,
378,2266342,1,23.16,
379,2269295,459,4600.0,
380,2269341,18,30.0,
381,2269368,1,10.0,
382,2269503,4,0.0,
383,2269511,9,0.0,
384,2269554,1,10.0,
385,2269562,1,0.0,
386,2269732,12,0.0,
387,2269783,1,18.55,
388,2269929,12,30.9,
389,2269937,36,360.0,
390,2269953,264,0.0,
391,2270048,7,70.0,
392,2270064,1,25.83,
393,2270250,141,64.91,
394,2270277,62,0.0,
395,2270285,10,10.0,
396,2270420,245,2570.0,
397,2270455,4,0.0,
398,2270560,7,30.0,
399,2270633,33,0.0,
400,2273063,10,240.0,
401,2273179,30,290.0,
402,2273489,1,39.94,
403,2273551,12,29.25,
404,2277298,101,1.0,
405,2277301,45,473.86000000000047,
406,2277328,5,0.0,
407,2279282,2,192.0,
408,2280167,16,161.0,
409,2280191,38,380.0,
410,2280299,8,80.0,
411,2280744,7,0.0,
412,2281201,1,24.0,
413,2287250,2,58.0,
414,2287447,2,48.0,
415,2287919,1,24.0,
416,2288346,8,0.0,
417,2291274,156,20.22,
418,2292386,2,49.83,
419,2295407,22,181.42999999999998,
420,2295415,23,281.90999999999997,
421,2295423,2,20.0,
422,2296586,1,0.0,
423,2296616,11211,110009.61000000004,
424,2298120,101,580.4700000000001,
425,2304155,8,100.0,
426,2306220,4,55.22,
427,2306336,22,243.47,
428,2306344,823,7581.3200000000215,
429,2307006,1,24.2,
430,2311607,23,230.0,
431,2313057,17,2282.9000000000005,
432,2314312,1,24.2,
433,2323249,1,25.83,
434,2323494,1,25.83,
435,2325721,3,0.0,
